,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,HOME_TEAM,VISITOR_TEAM
0,2019,85.0,0.354,0.9,0.22899999999999998,22.0,47.0,93.0,0.402,0.762,0.226,20.0,61.0,0,Hornets,Bucks
1,2019,103.0,0.3720000000000001,0.833,0.359,24.0,39.0,116.0,0.506,0.75,0.278,26.0,53.0,0,Hornets,Bucks
2,2013,111.0,0.434,0.75,0.588,30.0,43.0,110.0,0.433,0.941,0.35700000000000004,29.0,51.0,1,Hornets,Bucks
3,2013,92.0,0.44299999999999995,0.613,0.2,20.0,54.0,76.0,0.33299999999999996,0.75,0.294,17.0,38.0,1,Hornets,Bucks
4,2012,95.0,0.46299999999999997,0.708,0.444,23.0,52.0,85.0,0.391,0.667,0.31,23.0,36.0,1,Hornets,Bucks
5,2012,102.0,0.439,0.9,0.273,22.0,44.0,98.0,0.473,0.727,0.125,26.0,39.0,1,Hornets,Bucks
6,2012,90.0,0.35600000000000004,0.85,0.391,20.0,38.0,100.0,0.419,0.75,0.24100000000000002,26.0,56.0,0,Hornets,Bucks
7,2011,92.0,0.405,0.885,0.125,19.0,37.0,112.0,0.5329999999999999,0.5710000000000001,0.308,31.0,47.0,0,Hornets,Bucks
8,2011,96.0,0.442,0.762,0.21100000000000002,27.0,52.0,95.0,0.405,0.826,0.348,21.0,39.0,1,Hornets,Bucks
9,2010,87.0,0.485,0.6920000000000001,0.273,25.0,37.0,86.0,0.389,0.846,0.217,21.0,46.0,1,Hornets,Bucks
10,2009,87.0,0.375,0.741,0.41200000000000003,17.0,48.0,86.0,0.41200000000000003,0.667,0.28600000000000003,17.0,42.0,1,Hornets,Bucks
11,2009,94.0,0.42,0.7859999999999999,0.222,23.0,43.0,84.0,0.385,0.75,0.24,12.0,39.0,1,Hornets,Bucks
12,2009,94.0,0.478,0.767,0.278,16.0,37.0,87.0,0.429,0.682,0.28600000000000003,18.0,39.0,1,Hornets,Bucks
13,2008,102.0,0.47100000000000003,0.879,0.389,22.0,32.0,92.0,0.5,0.7240000000000001,0.273,15.0,35.0,1,Hornets,Bucks
14,2008,74.0,0.3720000000000001,0.591,0.17600000000000002,13.0,44.0,79.0,0.368,0.774,0.33299999999999996,13.0,50.0,0,Hornets,Bucks
15,2007,89.0,0.47100000000000003,0.7829999999999999,0.385,20.0,37.0,93.0,0.45,0.76,0.222,14.0,39.0,0,Hornets,Bucks
16,2007,102.0,0.48700000000000004,0.512,0.375,20.0,41.0,99.0,0.483,0.7140000000000001,0.385,20.0,44.0,1,Hornets,Bucks
17,2006,97.0,0.387,0.7190000000000001,0.133,29.0,48.0,81.0,0.38799999999999996,0.833,0.36,18.0,46.0,1,Hornets,Bucks
